,sentence,sentiment,battery_life,sound_quality,value_for_money,fingerprint,picture_quality
0,"Phone doesn't even complete the setup and installation. Gets stuck after putting in email ID's, face and fingerprint recognition. I had lots of things to say about One Plus6T and Amazon but they disallowed my previous review. I raised a return request - which is subject to a technician visit and evaluation - post which i will only get a replacement ( not a refund - even if i no longer want this product). Will update this review post the technician visit.  ",negative,0,0,0,1,0
1,One of the best phoneEasy to handleGood in all aspectsCompletely satisfied  ,positive,0,0,0,0,0
2,Super like the battery charging it's amazing  ,positive,1,0,0,0,0
3,Awsome  ,neutral,0,0,0,0,0
4,"Phone is not good , I installed 8 applications phone was off ,after 30 to 40 seconds it is turn onDon’t waste your moneyWrost phone , support from amazon is also waste  ",negative,0,0,1,0,0
5,Bestest  ,neutral,0,0,0,0,0
6,Sab ka baap  ,neutral,0,0,0,0,0
7,Worst site and worst product they chitted me on the name of no cost EMI I was purchased this product for 6 month no cost EMI but after receiving credit card bill I stunned to see whole amount due in single bill  ,negative,0,0,0,0,0
8,Fantastic product i love it.  ,positive,0,0,0,0,0
9,U can buy it  ,neutral,0,0,0,0,0
10,NICE ONE  ,positive,0,0,0,0,0
11,smooth performanceNice  ,neutral,0,0,0,0,0
12,Very nice mobile and price too is acceptableTotally the performance and maintenance is perfect but sometimes battery drains fast  ,positive,1,0,0,0,0
13,"Ordered this as a Gift, it was delivered as per my Request  with Safe Package. Nice to Join 1plus Family. Looking for the Next Version :)  ",positive,0,0,0,0,0
14,"Received today overall good. Few points make it cumbersome t use like no headphone port, no se card slot, camera quality not good at this price range.  ",positive,0,0,0,0,1
15,It's all good about the phone the structureBut only one side of the speaker worksAnd gets heated up some what .  ,positive,0,1,0,0,0
16,Fantastic phone  ,positive,0,0,0,0,0
17,Thx a lot. GD & speed shipping  ,positive,0,0,0,0,0
18,over all good  ,positive,0,0,0,0,0
19,Back camera is good but nothing more than this front is good .  ,positive,0,0,0,0,1
20,I like it  very nice phone  ,positive,0,0,0,0,0
21,"6t is my second oneplus phone (first was oneplus 3), always satisfied with their products with both hardware and software.the finger print sensor is acting slow at times, waiting for the tempered glass to arrive to see wether that improves the fingerprint sensor.  ",positive,0,0,0,1,0
22,"Its nice Product, Quality of sound, Camara, finishing are very Excellent.  ",positive,0,1,0,0,0
23,"Great phone overall, but sometimes there's an issue with the audio while Calling.  ",positive,0,0,0,0,0
24,"Great camera results. Even I switched off the room light and allowed only very little light inside, then also picture quality is great. Now I do not need to use my DSL camera anymore.  ",positive,0,0,1,0,1
25,Excellent  ,positive,0,0,0,0,0
26,I like for speed and accuracy  ,positive,0,0,0,0,0
27,Performance is top-notch..great specs. Great RAM management and smooth gaming. The OIS was found not performing upto the mark. But considering the price its not much of a worry. The fingerprint scanner also get mushy sometimes but i never really had the needed for it cuz face recognition does a very good job and is blazing fast.  Packaging was good and delivery was right on time. Camera may not be flagship level. But it can be improved alot by sideloading GCam port. So its not much of a big deal.  The display may tend to get a bit annoying in direct sunlight .but indoor it does a great job.  ,positive,0,0,0,1,1
28,Cool  ,positive,0,0,0,0,0
29,Very good  ,positive,0,0,0,0,0
30,"Fingerprint scanner on screen is total failure, unless you enable face recognition along with fingerprint scanner phone doesn't get unlock 30% of the times.  ",negative,0,0,0,1,0
31,Good mob  ,positive,0,0,0,0,0
32,Superb mobile  ,positive,0,0,0,0,0
33,The phone overall is amazing. I totally love it. The one thing that I don't like is the fingerprint reader animation.  ,positive,0,0,0,1,0
34,Everything is good in this phone.  ,positive,0,0,0,0,0
35,Finger print is slow  ,neutral,0,0,0,1,0
36,Amazing phone 100% satisfied with the performance and never seen such clarity in the images while using both front and back camera  ,positive,0,0,0,0,1
37,One plus phone is really ultimate phone ever....Thanks to Amazone to provide the fantastic phone....😊  ,positive,0,0,0,0,0
38,Nice  ,positive,0,0,0,0,0
39,Very good  ,positive,0,0,0,0,0
40,Very good speed  ,positive,0,0,0,0,0
41,"I thought this phone can't be hang for a sec. But i was wrong, this phone hangs sometimes for secs. You have to press home button then.  ",negative,0,0,0,0,0
42,Excellent phone  ,positive,0,0,1,0,0
43,"Funtabulas phone, with all features of best in quality. 24 hrs dilivery by Amazon.  ",positive,0,0,0,0,0
44,"This mobile phone is really worth each peny you pay . The most fastest phone in Android and the build quality and the camera quality is just awesome ""LEVEL TO THE PEAKS"" . Did not expect this type of quality from OnePlus from this range of budget , those who are reading this review , I really suggest you to buy this product it is simply awesome....The back side for mirror black is simply classy and you need to put a nice case for this *original OnePlus case is recommended to make sure it is comfy inside . The only major issue for me is delivery part was delayed . Mine is the 8 gigs ram & 128 gigs version... I prebooked this product and was the first one to pay in Amazon . 4K video quality is simply cool and the one and only outstanding camera feature is the NIGHTS CAPE MODE , the one and only phone with this option , low light photos is mind blowing and the in display fingerprint sensor and face id is really very quick and responsive (<0.2secs) . I got it for 45,999 (incl of all protect plan) . THE MOST RECOMMENDED PHONE EVER TO MY READERS  ",positive,0,0,0,1,1
45,"High performance, good build quality, highly recommended if anyone looking at this price  ",positive,0,0,0,0,0
46,Durabl thn samsung phones  ,neutral,0,0,0,0,0
47,The phone is a absolute beauty. Good looking.. great visibility.. good screen presence.. The cherry on top feature is it's speed. Truly in line with my hero Aryton Senna. I am a proud owner.  ,positive,0,0,0,0,0
48,Weight  ,neutral,0,0,0,0,0
49,Everything about this phone is a delight. Amazing performance. Lightning fast unlock by face or fingerprint. Frequent upgrades from OnePlus. The camera quality is amazing. And the water drop notch is simply so cool and classy. I love the weight/handling/performance of this phone. The battery definitely lasts one whole day after a partial charge. It takes around one hour atleast to charge fully but that is satisfactory given that I use it heavily for gaming etc during the day and also for recording my meetings at working and blackboard pictures. Recently ai have also been using Google translate instant on images and that works fabulously with this device.Oh and the best part! I am glad I did not wait for OnePlus 7. The pop up selfie camera is definitely not something I want compared to this amazing water drop notch design  ,positive,1,0,0,1,1
50,"Waited a long time to get a One Plus and being a keen automobile enthusiast, this was it. The One Plus 6T Mc Karen Edition was like a dream come true. A fantastic phone with regular updates to improve various parameters such as night shooting etc, it's 'warp charging' is a boon and with the 10 GB RAM and 256 GB memory it has the speed and the space to match all needs.  ",positive,0,0,0,0,0
51,I purchase one plus 6t in Nov 2018 but after use it phone camera quality not so good. Someone says they have  same phone and camera quality is good so how my phone camera quality is poor. So I requested plz replace my phone otherwise solve my problem  ,negative,0,0,0,0,1
52,Finger print is not good.  ,negative,0,0,0,1,0
53,Good & reliable  ,positive,0,0,1,0,0
54,Amazing one  ,positive,0,0,0,0,0
55,Worth phone for the money  ,positive,0,0,1,0,0
56,Total waste your moneyBad camera bad image stabilization.Finger print sensor time high backlight for eyes  ,negative,0,0,1,1,1
57,Nil  ,neutral,0,0,0,0,0
58,Jhvvc  ,neutral,0,0,0,0,0
59,Nice phone  ,positive,0,0,0,0,0
60,Face recognition  ,neutral,0,0,0,0,0
61,Awesome product  ,positive,0,0,0,0,0
62,Awesome phone...better then its competitor  ,positive,0,0,0,0,0
63,Good but bit price costly  ,positive,0,0,0,0,0
64,Value for money in all aspects  ,positive,0,0,1,0,0
65,"During playing amazon prime, continuously multiple colour pixel box was coming above the screen intermitently. And this is problem of all one plus 6t device. So, this is very heart breaking and disheartening.  ",negative,0,0,0,0,0
66,I expected much better camera quality.I will review more and update...  ,positive,0,0,0,0,1
67,This is one hell of an amazing product...Right from the packaging to the presentation is absolutely top notch👌Indeed a great phone for gamers  ,positive,0,0,0,0,0
68,Awesome  ,positive,0,0,0,0,0
69,Good  ,positive,0,0,1,0,0
